Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum
67,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848550753465,213848550755347,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
68,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848551086680,213848551088683,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
69,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848551414647,213848551416650,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
70,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848551755314,213848551757357,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
71,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848552081791,213848552083834,0,2684.000000,1088.000000,1724.000000,2048.000000,8192.000000,8192.000000
72,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848552419213,213848552421216,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
73,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848552740893,213848552743016,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
74,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848553080719,213848553082762,0,4746.000000,1088.000000,1738.000000,4096.000000,8192.000000,8192.000000
75,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848553403319,213848553405322,0,4746.000000,1088.000000,1738.000000,4096.000000,8192.000000,8192.000000
76,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848553740341,213848553742344,0,4690.000000,1088.000000,1682.000000,4096.000000,32768.000000,32768.000000
77,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848554062301,213848554064384,0,4718.000000,1088.000000,1710.000000,4096.000000,32768.000000,32768.000000
78,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848554395237,213848554397280,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
79,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848554718439,213848554720522,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
80,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848555044925,213848555046888,0,2684.000000,1088.000000,1724.000000,2048.000000,8192.000000,8192.000000
81,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848555364441,213848555366484,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
82,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848555703867,213848555705950,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
83,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848556030433,213848556032396,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
84,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848556371301,213848556373304,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
85,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848556698268,213848556700271,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
86,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848557037534,213848557039617,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
87,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848557356168,213848557358251,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
88,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848557688383,213848557690426,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
89,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848558011424,213848558013508,0,4732.000000,1088.000000,1724.000000,4096.000000,32768.000000,32768.000000
90,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848558345803,213848558347765,0,4718.000000,1088.000000,1710.000000,4096.000000,32768.000000,32768.000000
91,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848558666400,213848558668644,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
92,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848558997413,213848558999617,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
93,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848559318412,213848559320655,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
94,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848559654953,213848559657036,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
95,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848559974028,213848559976111,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
96,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848560306283,213848560308406,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
97,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848560625959,213848560628083,0,2628.000000,1088.000000,1668.000000,2048.000000,8192.000000,8192.000000
98,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848560960418,213848560962541,0,2684.000000,1088.000000,1724.000000,2048.000000,8192.000000,8192.000000
99,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848561289348,213848561291431,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
100,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848561619440,213848561621443,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
101,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848561946687,213848561948770,0,4746.000000,1088.000000,1738.000000,4096.000000,8192.000000,8192.000000
102,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848562280785,213848562282948,0,4746.000000,1088.000000,1738.000000,4096.000000,8192.000000,8192.000000
103,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848562602504,213848562604707,0,4690.000000,1088.000000,1682.000000,4096.000000,32768.000000,32768.000000
104,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848562934839,213848562936962,0,4718.000000,1088.000000,1710.000000,4096.000000,32768.000000,32768.000000
